Sl.No,District,South West Monsoon(June 14 to September 14)Actual,South West Monsoon(June 14 to September 14)Normal,North East Monsoon(October 14 to December 14)Actual,North East Monsoon(October 14 to December 14)Normal,Winter Season(January 15 and February 15) Actual,Winter Season(January 15 and February 15)Normal,Hot Weather Season(March 15 to May 15)Actual,Hot Weather Season(March 15 to May 15)Normal,Annual Total (June 14 to May 15)Actual,Annual Total (June 14 to May 15)Normal
1,Chennai,529.4,439.1,719.6,789.9,14,36.7,59.2,58.5,1322.2,1324.2
2,Kancheepuram,430,490.8,438.2,641.8,1.7,29.1,94.9,66,964.8,1227.7
3,Thiruvallur,424.8,451.6,487.1,589.3,0.8,31.5,93.3,67.2,1006,1139.6
4,Cuddalore,332.7,383.1,695.5,697.8,14.7,44.1,160.2,81.7,1203.1,1206.7
5,Villupuram,420.1,408.3,413.9,499.1,3,28.2,155.7,76,992.7,1011.6
6,Vellore,400,466.1,183.5,348.7,1.6,14.9,165.7,106.5,750.8,936.2
7,Tiruvannamalai,445.5,468.1,248.9,446.5,0,26.5,177.5,98.9,871.9,1040
8,Salem,369.8,440.6,332.7,370.5,22,16,277,170.8,1001.5,997.9
9,Namakkal,219.7,339.3,251.6,291.6,25.6,13.9,185.9,148.6,682.8,793.4
10,Dharmapuri,260.3,393.4,347,330.1,26.1,18.2,250.2,160.4,883.6,902.1
11,Krishnagiri,272.6,399,279.5,289.4,8.7,10.7,239.6,151.6,800.4,850.7
12,Tiruppur,242.2,154.8,343.6,314.3,9.2,14,362.9,135.1,957.9,618.2
13,Coimbatore,764.2,189.8,311.6,328.9,0,20.3,342.3,150.3,1418.1,689.3
14,Erode,286.3,229.8,395.8,314.6,1.2,16.1,228.6,142.4,911.9,702.9
15,Tiruchirappalli,142.7,293.9,259.1,391.5,12.2,22.7,211.7,109.9,625.7,818
16,Karur,156,213.6,258.8,314.7,18.2,17.5,220.6,109.2,653.6,655
17,Perambalur,282.9,290.7,345.9,440.9,23.3,21.4,205.5,108.9,857.6,861.9
18,Pudukkottai,251.5,350.6,399.5,406.2,6.1,33.1,238.3,97.5,895.4,887.4
19,Thanjavur,215.7,318.4,549.1,550.3,1.8,42.3,198,102.1,964.6,1013.1
20,Thiruvarur,247.3,296.4,752.6,719.1,3.5,60.1,271.2,97.7,1274.6,1173.3
21,Nagapattinam,220.4,286.1,1016,941,19.8,85.7,162.1,80.5,1418.5,1393.3
22,Madurai,227.2,335.9,323.5,419.1,11.9,28.1,313.6,144.8,876.2,927.9
23,Theni,302.7,158.4,398.7,357.9,18.7,35.4,387.8,168.3,1107.9,720
24,Dindigul,301.2,295.4,445.6,436.4,32.7,30.9,359.8,168,1139.3,930.7
25,Ramanathapuram,84.8,149.3,611.4,491.7,3.8,51.3,285.5,115.5,985.5,807.8
26,Virudhunagar,144.3,196.8,308.1,419,9.9,42.8,201.2,161.5,663.5,820.1
27,Sivagangai,300,301,468.8,422.7,18.8,27.9,269.1,121.2,1056.7,872.8
28,Tirunelveli,118.8,142.4,847.5,467.2,19.5,69.3,317.9,166.2,1303.7,845.1
29,Thoothukkudi,51.9,74.9,585.6,427,9.6,42.8,143.1,111.6,790.2,656.3
30,The Nilgiris,1013.3,759.9,580.9,478.2,1.5,49.3,505.5,235.3,2101.2,1522.7
31,Ariyalur,208.6,392,361,545.5,4.5,32.5,110,101.8,684.1,1071.8
32,Kanniyakumari,414.2,477.4,495,496.4,22.5,40.4,478.2,288.3,1409.9,1302.5
Average,State Average,305.5,321.2,430.3,440.4,10.9,31.3,241.2,128,987.9,920.9
