S.No,District,Actual Rainfall in South West Monsoon (June'17 to September'17) in mm,Normal Rainfall in South West Monsoon (June'17 to September'17) in mm,Actual Rainfall in North East Monsoon (October'17 to December'17) in mm,Normal Rainfall in North East Monsoon (October'17 to December'17) in mm,Actual Rainfall in Winter Season (January'18 to and February'18) in mm,Normal Rainfall in Winter Season (January'18 to and February'18) in mm,Actual Rainfall in Hot Weather Season (March'18 to May'18) in mm,Normal Rainfall in Hot Weather Season (March'18 to May'18) in mm,Total Actual Rainfall (June'17 to May'18) in mm,Total Normal Rainfall (June'17 to May'18) in mm
1,Chennai,449.7,439.1,937.8,789.9,3.1,36.7,2.9,58.5,1393.5,1324.2
2,Kancheepuram,488.5,490.8,672.6,641.8,4.4,29.1,14.5,66,1180,1227.7
3,Tiruvallur,498.7,451.6,677.8,589.3,8.1,31.5,17.8,67.2,1202.4,1139.6
4,Cuddalore,465.7,383.1,775.9,697.8,55,44.1,14.4,81.7,1311,1206.7
5,Villupuram,441.3,408.3,535.7,499.1,10.5,28.2,24.2,76,1011.7,1011.6
6,Vellore,573.7,466.1,338.8,348.7,9.8,14.9,91.7,106.5,1014,936.2
7,Tiruvannamalai,621.9,468.1,524.9,446.5,34.9,26.5,52.4,98.9,1234.1,1040
8,Salem,484.7,440.6,341.9,370.5,15.4,16,179.2,170.8,1021.2,997.9
9,Namakkal,379.1,339.3,256.5,291.6,26.8,13.9,183.4,148.6,845.8,793.4
10,Dharmapuri,402.4,393.4,254.6,330.1,1.4,18.2,162.4,160.4,820.8,902.1
11,Krishnagiri,525.1,399,329.7,289.4,1.3,10.7,163.8,151.6,1019.9,850.7
12,Tiruppur,310.4,154.8,255.6,314.3,19.3,14,249.3,135.1,834.6,618.2
13,Coimbatore,510,189.8,182.6,328.9,12.8,20.3,311.8,150.3,1017.2,689.3
14,Erode,311.1,229.8,196.4,314.6,15.1,16.1,246.8,142.4,769.4,702.9
15,Tiruchirappalli,333.7,293.9,223.7,391.5,7.3,22.7,148.1,109.9,712.8,818
16,Karur,336.1,213.6,234.3,314.7,15.7,17.5,141.2,109.2,727.3,655
17,Perambalur,552.3,290.7,306.8,440.9,18.1,21.4,85.3,108.9,962.5,861.9
18,Pudukkottai,407.3,350.6,207.5,406.2,7.3,33.1,94.2,97.5,716.3,887.4
19,Thanjavur,479.5,318.4,433.7,550.3,21.9,42.3,59.4,102.1,994.5,1013.1
20,Tiruvarur,390.6,296.4,701.8,719.1,31,60.1,48.3,97.7,1171.7,1173.3
21,Nagapattinam,299,286.1,1132.3,941,78.8,85.7,19.7,80.5,1529.8,1393.3
22,Madurai,407.4,335.9,286.5,419.1,6.5,28.1,175.5,144.8,875.9,927.9
23,Theni,366.5,158.4,280.6,357.9,22.8,35.4,306.5,168.3,976.4,720
24,Dindigul,410.2,295.4,325.1,436.4,12.6,30.9,218.5,168,966.4,930.7
25,Ramanathapuram,211.3,149.3,259.1,491.7,2.2,51.3,110.8,115.5,583.4,807.8
26,Virudhunagar,293.6,196.8,332.3,419,28.5,42.8,238,161.5,892.4,820.1
27,Sivaganga,526.4,301,259.3,422.7,4.1,27.9,284.8,121.2,1074.6,872.8
28,Tirunelveli,212.6,142.4,665.5,467.2,25.8,69.3,247.8,166.2,1151.7,845.1
29,Thoothukudi,105.4,74.9,353.6,427,1.7,42.8,153.3,111.6,614,656.3
30,The Nilgiris,731.4,759.9,350.3,478.2,31.4,49.3,375.5,235.3,1488.6,1522.7
31,Ariyalur,549.4,392,491.7,545.5,25.8,32.5,52.2,101.8,1119.1,1071.8
32,Kanniyakumari,399.4,477.4,611.2,496.4,16.6,40.4,290.2,288.3,1317.4,1302.5
Average,State Average,421.1,330.8,429.3,468,18,32.9,148.9,128.2,1017.2,960
